"","X","STATION","NumEs","UpTime","Lines"
"10",44599,"125 ST",3,86.77,"1"
"15",4571,"14 ST-UNION SQ",2,80.86,"4/5/6/L/N/Q/R/W"
"16",43756,"145 ST",2,81.29,"A/B/C/D"
"22",69748,"161/YANKEE STAD",2,65.61,"4/B/D"
"34",42066,"181 ST",3,95.5,"A"
"43",105524,"21 ST-QNSBRIDGE",6,91.9,"F"
"60",2966,"34 ST-HERALD SQ",12,85.05,"B/D/F/M/N/Q/R/W"
"61",184587,"34 ST-HUDSON YD",16,91.96,"7"
"76",73532,"5 AV/53 ST",4,92.85,"E/M"
"79",26664,"50 ST",2,99.62,"C/E"
"80",153003,"51 ST",9,70.25,"E/M/6"
"86",1,"59 ST",2,50,"1,A,B,C,D"
"89",178813,"61 ST WOODSIDE",1,74.02,"7"
"96",13286,"7 AV",2,84.17,"B/D/E"
"99",107575,"72 ST-2 AVE",10,89,"Q"
