"","STATION","totalAvgYearlyEntries","totalAvgYearlyExits"
"1","125 ST",118605534.943404,69442573.9378406
"2","14 ST-UNION SQ",18766858.835338,8017800.31375114
"3","145 ST",50633386.7699994,106391209.353777
"4","161/YANKEE STAD",59184790.181648,38161448.9098686
"5","181 ST",9168295.11992091,8535731.98442907
"6","21 ST-QNSBRIDGE",7717029.23930377,6770514.54366005
"7","34 ST-HERALD SQ",87562283.8627241,110950922.026943
"8","34 ST-HUDSON YD",589852.293877183,446016.243688097
"9","5 AV/53 ST",4802888.12010644,5354995.37377821
"10","50 ST",7747063.10144262,6818936.15850409
"11","51 ST",3923022.93691482,4920702.45789106
"12","59 ST",76743722.6331039,44200926.3275393
"13","61 ST WOODSIDE",93494838.0459003,106277888.618572
"14","7 AV",58932206.7019596,27421017.0858957
"15","72 ST-2 AVE",7921201.84239482,926590.285242718
